Bažantnice;49.34139;13.64111;Klatovy;
Bažantnice;49.44667;13.16389;Klatovy;
Bažantnice;49.82528;14.26528;Příbram;
Bažantnice;49.93639;13.27944;Plzeň-sever;
Bažantnice;49.43361;16.15472;Žďár nad Sázavou;
Bdeněves;49.76917;13.23417;Plzeň-sever;
Bdín;50.21500;13.86278;Rakovník;
Bečelov;49.20833;14.24306;Písek;
Bečice;49.21444;14.50500;České Budějovice;
Bečice;49.38417;14.55611;Tábor;
Bečkov;50.63778;15.99417;Trutnov;
Bečov;50.50833;13.34361;Chomutov;
Bečov;50.44917;13.72056;Most;
Bečov nad Teplou;50.08694;12.83917;Karlovy Vary;
Bečváry;49.95806;15.07750;Kolín;
Bečvice;49.41639;18.35694;Vsetín;
Bedihošť;49.44667;17.17056;Prostějov;
Bedlno;50.12028;13.50889;Rakovník;
Bednárec;49.19861;15.09722;Jindřichův Hradec;
Bednáreček;49.21139;15.14306;Jindřichův Hradec;
Bednárňa;49.29694;17.59750;Kroměříž;
Bednářovna;49.44611;15.38889;Jihlava;
Bědovice;50.19861;16.02194;Hradec Králové;
Bedrč;49.80722;14.71806;Benešov;
Bedřichov;49.46417;16.45778;Blansko;
Bedřichov;48.75833;14.72806;České Budějovice;
Bedřichov;49.50917;12.68056;Domažlice;
Bedřichov;49.43056;15.60306;Jihlava;
Bedřichov;50.79000;15.14833;Jablonec nad Nisou;
Bedřichov;49.88194;15.17444;Kutná Hora;
Bedřichov;49.47389;14.95889;Pelhřimov;
Bedřichov;49.94194;17.16306;Šumperk;
Bedřichov;50.73111;15.60111;Trutnov;
Bedřichovice;49.17972;16.72361;Brno-venkov;
Bedřichovice;49.67444;14.77889;Benešov;
Bedřichovice;50.30389;13.88278;Louny;
Bedřichovka;50.79861;14.99028;Liberec;
Bedřichovka;50.29889;16.44000;Rychnov nad Kněžnou;
Bedřichův Světec;50.45528;13.75417;Most;
Běhánky;50.68111;13.80944;Teplice;
Běhařov;49.34694;13.16361;Klatovy;
Běhařovice;49.00417;16.08000;Znojmo;
Běchárky;50.29222;15.28917;Jičín;
Běchary;50.31417;15.29639;Jičín;
Bechlejovice;50.75917;14.24111;Děčín;
Bechlín;50.41500;14.34028;Litoměřice;
Bechov;50.44139;15.08556;Mladá Boleslav;
Bechov;49.21500;18.13139;Vsetín;
Běchovice;50.08083;14.61361;Praha;
Bechyně;49.29806;14.47139;Tábor;
Bechyňská Smoleč;49.30917;14.54778;Tábor;
Bělá;48.65694;14.58583;Český Krumlov;
Bělá;50.70500;14.42528;Česká Lípa;
Bělá;49.89333;16.00417;Chrudim;
Bělá;50.79000;14.18139;Děčín;
Bělá;49.58028;18.76861;Frýdek-Místek;
Bělá;49.75361;15.24056;Havlíčkův Brod;
Bělá;50.13111;17.21972;Jeseník;
Bělá;49.97361;18.15111;Opava;
Bělá;49.31361;15.26222;Pelhřimov;
Bělá;49.41167;14.94056;Pelhřimov;
Bělá;49.50528;15.13944;Pelhřimov;
Bělá;48.79806;13.96194;Prachatice;
Bělá;49.63056;16.83556;Prostějov;
Bělá;50.18472;16.37917;Rychnov nad Kněžnou;
Bělá;50.54000;15.44556;Semily;
Bělá I;50.59250;15.18333;Semily;
Bělá nad Radbuzou;49.59139;12.71944;Domažlice;
Bělá nad Svitavou;49.63917;16.48500;Svitavy;
Bělá pod Bezdězem;50.50306;14.80167;Mladá Boleslav;
Bělá pod Pradědem;50.17250;17.19944;Jeseník;
Bělá u Jevíčka;49.64389;16.64361;Svitavy;
Bělá u Pecky;50.47472;15.57583;Jičín;
Belatkův Mlýn;49.47139;16.17250;Žďár nad Sázavou;
Bělbožice;50.01917;13.59972;Rakovník;
Bělčice;49.84361;14.80889;Benešov;
Bělčice;49.50333;13.87778;Strakonice;
Bělčovice;48.98361;15.51500;Jindřichův Hradec;
Běleč;49.91278;14.18167;Beroun;
Běleč;49.43167;16.38333;Blansko;
Běleč;50.05528;13.99389;Kladno;
Běleč;49.05028;14.03722;Prachatice;
Běleč;49.54333;14.83944;Tábor;
Běleč nad Orlicí;50.19806;15.95278;Hradec Králové;
Bělečko;50.15583;15.95194;Pardubice;
Bělečská Lhota;49.04333;14.03139;Prachatice;
Bělečský Mlýn;50.18667;15.95000;Hradec Králové;
Beledinka;49.43472;15.35028;Pelhřimov;
Bělehrad;49.62417;13.72861;Příbram;
Běleň;48.69111;14.33194;Český Krumlov;
Bělešovice;49.98278;15.95528;Pardubice;
Bělice;49.76417;14.47111;Benešov;
Bělidla;49.59556;17.29667;Olomouc;
Bělidlo;50.61972;16.26833;Náchod;
Bělidlo;50.09167;13.74167;Rakovník;
Bělidlo;50.11722;13.64194;Rakovník;
Bělidlo;50.62972;15.50139;Semily;
Belina;49.62639;13.87806;Příbram;
Bělkovice;49.67028;17.32556;Olomouc;
Bělkovice-Lašťany;49.67528;17.32278;Olomouc;
Bělohrad;49.37778;12.98611;Domažlice;
Bělohrad;49.70667;14.20111;Příbram;
Bělokozly;49.85028;14.90139;Kutná Hora;
Běloky;50.13306;14.22083;Kladno;
Bělotín;49.59556;17.80889;Přerov;
Bělov;49.21694;17.48694;Kroměříž;
Běloves;50.42833;16.20083;Náchod;
Bělský Les;49.77944;18.24861;Ostrava-město;
Belšanka;50.11278;13.81278;Rakovník;
Běluň;50.38722;15.93417;Náchod;
